"","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum"
"80","2018_LOW_POLY_LP5O83_CV","Lab18",2018,"LOW","POLY","LP5","O83",0,NA,"CV","LP5","O83","OLD",42.92,27.57,8.42,6.11,"42.68",26.23,"9.81",9.84,"2",0,1,0,"CV","LOW_POLY","LP5O83"
"81","2018_LOW_POLY_LP5W11_IR","Lab18",2018,"LOW","POLY","LP5","W11",0,NA,"IR","LP5","W11",NA,35.2,21.49,13.63,4.02,"34.51",13.8,"13.12",5.41,"0",0,0,0,"IR","LOW_POLY","LP5W11"
"82","2018_LOW_POLY_LP5W25_IR","Lab18",2018,"LOW","POLY","LP5","W25",0,NA,"IR","LP5","W25",NA,45.14,23.77,16.95,8.71,"45.93",22.59,"17.92",10.99,"0",0,1,0,"IR","LOW_POLY","LP5W25"
"83","2018_LOW_POLY_LP5W41_IR","Lab18",2018,"LOW","POLY","LP5","W41",0,NA,"IR","LP5","W41",NA,40.78,21.61,13.16,5.52,"40.41",20.9,"14.27",7.03,"0",0,0,0,"IR","LOW_POLY","LP5W41"
"84","2018_LOW_POLY_LP5W48_IR","Lab18",2018,"LOW","POLY","LP5","W48",0,NA,"IR","LP5","W48",NA,50.87,25.72,25.64,11.49,"50.47",23.8,"18.84",14.33,"0",0,2,0,"IR","LOW_POLY","LP5W48"
"85","2018_LOW_POLY_LP5W5_IR","Lab18",2018,"LOW","POLY","LP5","W5",0,NA,"IR","LP5","W5",NA,47.35,24.54,16.22,8.59,NA,NA,NA,NA,NA,NA,NA,0,"IR","LOW_POLY","LP5W5"
"86","2018_LOW_POLY_LP5Y92_CV","Lab18",2018,"LOW","POLY","LP5","Y92",0,NA,"CV","LP5","Y92","OLD",35.79,21.41,7.31,3.3,"35.44",23.4,"9.05",7.48,"0",0,0,0,"CV","LOW_POLY","LP5Y92"
"87","2018_LOW_POLY_LP71_MB","Lab18",2018,"LOW","POLY","LP7","1",5,NA,"LP","LP7","1",NA,NA,NA,NA,NA,"15.52",11.4,"5.73",0.47,"0",0,0,5,"LP","LOW_POLY","LP71"
"88","2018_LOW_POLY_LP72_MB","Lab18",2018,"LOW","POLY","LP7","2",2,NA,"LP","LP7","2",NA,NA,NA,NA,NA,"13.18",10.49,"5.54",0.34,"0",0,0,2,"LP","LOW_POLY","LP72"
"89","2018_LOW_POLY_LP73_MB","Lab18",2018,"LOW","POLY","LP7","3",2,NA,"LP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2018_LOW_POLY_LP74_MM","Lab18",2018,"LOW","POLY","LP7","4",3,NA,"AM","LP7","4",NA,NA,NA,NA,NA,"16.28",10.16,"4.88",0.44,"0",0,0,3,"AM","LOW_POLY","LP74"
"91","2018_LOW_POLY_LP75_MM","Lab18",2018,"LOW","POLY","LP7","5",0,NA,"AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2018_LOW_POLY_LP7O11_CV","Lab18",2018,"LOW","POLY","LP7","O11",0,NA,"CV","LP7","O11","OLD",50.8,27.4,11.26,8.12,"35.79",28.25,"11.36",7.85,"0",0,0,0,"CV","LOW_POLY","LP7O11"
"93","2018_LOW_POLY_LP7O23_CV","Lab18",2018,"LOW","POLY","LP7","O23",0,NA,"CV","LP7","O23","OLD",40.69,27.45,6.81,5.53,"30.21",33.73,"12.48",10.51,"0",0,0,0,"CV","LOW_POLY","LP7O23"
"94","2018_LOW_POLY_LP7O25_CV","Lab18",2018,"LOW","POLY","LP7","O25",0,NA,"CV","LP7","O25","OLD",38.92,23.13,9.03,4.89,"51.54",27.66,"14.03",16.97,"1",0,0,0,"CV","LOW_POLY","LP7O25"
"95","2018_LOW_POLY_LP7O37_CV","Lab18",2018,"LOW","POLY","LP7","O37",0,NA,"CV","LP7","O37","OLD",54.36,29.69,8.84,9.58,"43.28",36.24,"15.07",11.86,"0",0,0,0,"CV","LOW_POLY","LP7O37"
"96","2018_LOW_POLY_LP7Y16_IR","Lab18",2018,"LOW","POLY","LP7","Y16",0,NA,"IR","LP7","Y16",NA,35.81,18.98,14.55,4.07,"40.09",20.99,"16.9",6.36,"0",0,0,0,"IR","LOW_POLY","LP7Y16"
"97","2018_LOW_POLY_LP7Y17_IR","Lab18",2018,"LOW","POLY","LP7","Y17",0,NA,"IR","LP7","Y17",NA,29.53,18.38,11.29,2.85,"36.81",23.17,"14.5",5.95,"0",0,0,0,"IR","LOW_POLY","LP7Y17"
"98","2018_LOW_POLY_LP7Y74_IR","Lab18",2018,"LOW","POLY","LP7","Y74",0,NA,"IR","LP7","Y74",NA,28.56,17.68,11.94,2.57,"34.63",20.05,"14.84",5.27,"0",0,0,0,"IR","LOW_POLY","LP7Y74"
"99","2018_LOW_POLY_LP7Y8_CV","Lab18",2018,"LOW","POLY","LP7","Y8",0.5,NA,"CV","LP7","Y8",NA,NA,NA,NA,NA,"39.33",28.9,"10.79",7.41,"0",0,0,0.5,"CV","LOW_POLY","LP7Y8"
"100","2018_LOW_POLY_LP7Y88_IR","Lab18",2018,"LOW","POLY","LP7","Y88",0,NA,"IR","LP7","Y88",NA,NA,NA,NA,NA,"31.36",17.72,"11.61",3.34,"0",0,0,0,"IR","LOW_POLY","LP7Y88"
"101","2018_LOW_POLY_LP7Y94_IR","Lab18",2018,"LOW","POLY","LP7","Y94",0,NA,"IR","LP7","Y94",NA,NA,NA,NA,NA,"32.76",18.44,"14.03",4.57,"0",0,0,0,"IR","LOW_POLY","LP7Y94"
